LME no;All data for 100km coast;SHELF AREA (km2);Ave Annual Catch 2001-10(t);Ave Annual LV (2001-10) 2013 US$;Proportion of collapsed and overexploited from stock status plots (10-yr ave);Ave tourism revenues (2004-2013) 2013 US$;NLDI 2006_LME; Average  LME fish contribution to animal protein of LME coastal countries ;Ave  LME Tourism Contribution to GDPs of LME Coastal Countries
21;Norwegian Sea;61883;1410767;469878820;0.5467;6315183200;0.809;23.4;7.4
22;North Sea;571696;2055090;2497061157;0.6117;338271404053;0.663;10.5;10.0
23;Baltic Sea;381369;689863;235820699;0.5727;89034004337;0.693;11.8;8.5
24;Celtic-Biscay Shelf;510468;1065478;2741868138;0.5465;233074857920;0.591;10.0;11.4
25;Iberian Coastal ;51855;290838;685837650;0.6024;96028430736;0.708;20.3;15.0
26;Mediterranean;510136;1067407;3430991381;0.3233;478728877130;0.730;12.2;13.1
27;Canary Current;176053;2137533;2624422433;0.4948;39267538357;0.816;25.1;16.2
28;Guinea Current;273884;903748;1330357127;0.4083;4797874361;0.860;41.8;4.9
29;Benguela Current;196486;1065963;1202281658;0.5209;6130545447;0.867;16.4;7.8
30;Agulhas Current;314044;317781;576439193;0.5079;12598037285;0.923;19.9;8.7
31;Somali Coastal Current;60382;44440;102869730;0.5328;943984859;0.910;13.2;12.2
32;Arabian Sea;662964;3187576;4130753748;0.3212;53384607318;0.775;11.7;7.2
33;Red Sea;167130;113233;230291568;0.3261;12133838451;0.814;9.2;6.9
34;Bay of Bengal;625959;3802945;5891137757;0.2355;57222138090;0.805;32.4;14.6
35;Gulf of Thailand;382748;757007;1143028121;0.2388;33127745647;0.800;38.0;17.0
36;South China Sea;1476285;6298634;10286720935;0.3589;234946310371;0.802;27.5;12.1
37;Sulu - Celebes Sea;204923;1151491;1596199394;0.2741;14403345299;0.862;38.9;11.5
38;Indonesian Sea;741098;1481057;1912412118;0.2663;53152730017;0.824;54.5;10.5
39;North Australian Shelf;714205;60271;275433812;0.3024;33728586210;0.703;8.3;11.7
40;Northeast Australian Shelf;292248;18727;86133841;0.5155;32442754171;0.734;8.6;11.7
41;East Central Australian Shelf;63670;14023;70474497;0.6086;50718787520;0.615;8.3;11.7
42;Southeast  Australian Shelf;212928;30505;220709711;0.4779;38113154290;0.648;8.3;11.7
43;Southwest Australian Shelf;313414;33774;242130989;0.3709;25581584710;0.615;8.3;11.7
44;West -  Central Australian Shelf;87480;20362;173578189;0.4285;15953310210;0.626;8.3;11.7
45;Northwest Australian Shelf;349545;50892;199870040;0.3110;15953310210;0.626;8.3;11.7
46;New Zealand Shelf;217541;327559;852738287;0.5369;24639700000;0.778;10.6;16.3
47;East China Sea;566441;3721228;6954896024;0.4839;146489201053;0.706;24.3;9.1
48;Yellow Sea;430451;2171081;4041976555;0.4519;208961594180;0.684;25.8;9.8
49;Kuroshio;95629;690174;1617466382;0.5375;102053388799;0.661;36.4;6.6
50;Sea of Japan / East Sea;200776;1197240;2353242447;0.4035;80112423060;0.722;36.9;6.6
51;Oyashio Current;48076;586036;952399462;0.2996;14148758052;0.706;36.9;6.7
52;Sea of Okhotsk;627046;2590427;4548752505;0.3060;15230970720;0.761;27.1;6.6
53;West Bering;293092;391737;714896683;0.3682;378077280;0.806;14.0;6.1
54;Northern Bering -  Chukchi Seas;559707;294581;327890066;0.4229;4759031758;0.709;10.4;8.4
55;Beaufort Sea;86535;224;417730;0.2250;16298971350;0.684;8.9;6.1
56;East Siberian Sea;911105;1300;1344326;0.2000;1200951360;0.955;14.0;6.1
57;Laptev Sea;499185;2835;2989354;0.0000;3780772800;0.823;14.0;6.1
58;Kara Sea;755069;895;826300;0.5417;5126283120;0.852;14.0;6.1
59;Iceland Shelf and Sea;177654;1179096;488226129;0.6085;471060000;0.804;29.1;19.3
60;Faroe Plateau;22550;304840;228384131;0.4437;264520000;0.846;43.2;0.1
61;Antarctic;491798;11759;2362484;0.4517;1229157306;;;
62;Black Sea;145841;331875;600629668;0.5014;43085614652;0.793;8.9;10.8
63;Hudson Bay Complex;1058544;1025;2202056;1.0000;19522395900;0.683;9.7;5.2
64;Central Arctic;1535;495;1985753;0.8500;17277477680;;;
65;Aleutian Is;587167;156131;199506838;0.4459;36286225;0.602;7.4;8.4
66;Canadian High Arctic - North Greenland;154024;241;454337;0.5000;216011710;0.821;10.8;4.3
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
