LME code,LME_NAME,CHI scores,Ocean Acid-ification,SLR,SST,UV,Artisanal Fishing,Demersal Destructive Fishing,Demersal Non-destructive High Bycatch Fishing,Demersal Non-destructive Low Bycatch Fishing,Pelagic High Bycatch Fishing,Pelagic Low Bycatch Fishing,Shipping,Ocean-based pollution,Oil Rigs,Invasive Species,Inorganic Pollution,Light Pollution,Nutrient Pollution,Organic Pollution,Direct Human Impact,,,
36,South China Sea,4.4228741460,0.8921105650,0.2447733340,1.3383650010,0.5137012720,0.0012600630,0.3371512530,0.3152099030,0.1329061750,0.0104832650,0.0301417260,0.2435644760,0.3048379170,0.0010798940,0.0146423300,0.0108985930,0.0014077860,0.0160101190,0.0022069480,0.0121235040,,,
37,Sulu-Celebes Sea,4.2460903640,1.0489884020,0.1747157210,1.4509468150,0.4742096230,0.0139730300,0.2167586150,0.3000716810,0.1453842480,0.0024457370,0.0502411750,0.1116262200,0.1607356890,0.0000054400,0.0216608010,0.0212901060,0.0011892660,0.0129389460,0.0015926200,0.0373161930,,,
38,Indonesian Sea,3.7525259560,0.8924502860,0.3092477560,1.1702013770,0.4550974030,0.0060001840,0.2567590680,0.1777740230,0.1412152850,0.0025085490,0.0398293650,0.0916877120,0.1375579030,0.0003468720,0.0132026750,0.0172733160,0.0007123680,0.0155134190,0.0017858400,0.0233625240,,,
39,North Australian Shelf,2.5435058060,0.5329228560,0.6484214820,0.5105243160,0.5121999360,0.0000645000,0.0678189840,0.0329001200,0.0227901520,0.0027757310,0.0133532310,0.0827114820,0.0933091760,0.0000000000,0.0096333230,0.0014605810,0.0001567970,0.0086309430,0.0003546140,0.0034776390,,,
40,Northeast Australian Shelf,3.4160579710,0.9887276160,0.2605844250,1.2604034360,0.4885589810,0.0004711090,0.0123125910,0.0061398220,0.0308296200,0.0018485450,0.0400897540,0.1195442950,0.1923322430,0.0000000000,0.0069588790,0.0011769110,0.0001912820,0.0031001610,0.0001492190,0.0026390560,,,
41,East Central Australian Shelf,4.0766350350,1.1285025660,0.0457732550,1.6530942780,0.7218345800,0.0018473490,0.0191060400,0.0081370150,0.0128232300,0.0003999780,0.0128153080,0.1811487660,0.2715618640,0.0000000000,0.0024586260,0.0054253910,0.0007096630,0.0047004700,0.0004559150,0.0058407320,,,
42,Southeast Australian Shelf,3.5329821800,0.9797451280,0.0749929550,1.4928286670,0.7162230920,0.0004118080,0.0138425590,0.0096710330,0.0026061700,0.0001881700,0.0006214350,0.0934957260,0.1313296710,0.0000724000,0.0071262410,0.0015422510,0.0002582880,0.0033168310,0.0005001100,0.0042096640,,,
43,South West Australian Shelf,3.7628220950,0.9337263720,0.1468166740,1.7107493260,0.6810162370,0.0002075200,0.0192000930,0.0208634580,0.0040718670,0.0005193600,0.0009644800,0.0906594940,0.1373683770,0.0000000000,0.0076880970,0.0007316240,0.0001464610,0.0048351380,0.0005361190,0.0027213670,,,
44,West Central Australian Shelf,3.8706673140,1.0290702890,0.1218478330,1.5451049970,0.6969034380,0.0000970000,0.0089565460,0.0116631760,0.0033836590,0.0288716720,0.0013842410,0.1696238130,0.2405906630,0.0000000000,0.0066053050,0.0007992110,0.0001484590,0.0030293820,0.0005063990,0.0020811980,,,
45,Northwest Australian Shelf,3.6820396500,0.9319424090,0.2277661540,1.4914618530,0.5534335390,0.0000559000,0.0446025700,0.0246891790,0.0098734270,0.0202817230,0.0018903300,0.1604491740,0.2047202040,0.0001512750,0.0069182400,0.0002978470,0.0001448920,0.0013804890,0.0000556000,0.0019247550,,,
46,New Zealand Shelf,2.7518986030,1.0008762440,0.0660256290,0.7346389800,0.5098259290,0.0005516970,0.1033824960,0.0264313400,0.0094567870,0.0004331580,0.0003687530,0.1158086710,0.1450926890,0.0000000000,0.0091453590,0.0114386630,0.0005320160,0.0088910270,0.0006514800,0.0083476740,,,
47,East China Sea,5.2217420870,0.7762511090,0.2509959440,1.4553633910,0.5802998180,0.0014820260,0.5579678470,0.4759398930,0.1651766710,0.0207792930,0.0113605460,0.4247337820,0.3973495890,0.0000422000,0.0279224640,0.0180879360,0.0063189860,0.0194570570,0.0030602200,0.0291532950,,,
48,Yellow Sea,4.7428746080,0.3785404610,0.6351693660,0.9728593080,0.4402311830,0.0009092000,0.4524149570,0.6020125650,0.2106501470,0.0000000000,0.0033882300,0.3731853620,0.4369300210,0.0002697610,0.0627258150,0.0480118410,0.0072241310,0.0672085490,0.0141454860,0.0369982230,,,
49,Kuroshio Current,4.3152608430,1.0974515890,0.0350188100,1.5324886400,0.6261980020,0.0014435870,0.1095710570,0.0879644680,0.0764181860,0.0107636130,0.0185397660,0.2703543040,0.3935147190,0.0000000000,0.0240586530,0.0093009580,0.0024390450,0.0061697460,0.0019896060,0.0115760760,,,
50,Sea of Japan,3.9133893790,0.8482479770,0.0502763540,1.5760937010,0.5522932330,0.0011994180,0.1914375090,0.0823480130,0.0867524320,0.0000000000,0.0044100410,0.1903638040,0.2687963850,0.0000000000,0.0233604300,0.0120110830,0.0023366220,0.0081562670,0.0028094020,0.0124967100,,,
51,Oyashio Current,3.2089118940,0.7832400720,0.0214760170,0.9133219350,0.7628029780,0.0001639190,0.0738359770,0.0316758150,0.0433317600,0.0000000000,0.0060178610,0.2222006580,0.3422308850,0.0000000000,0.0017108560,0.0013562200,0.0001774520,0.0019283120,0.0007853530,0.0026558340,,,
52,Sea of Okhotsk,3.1473165300,0.6222809140,0.0678343450,1.0173013520,0.5565069290,0.0002152720,0.4455297570,0.0934138330,0.1036082540,0.0000000000,0.0004888010,0.1005354230,0.1319581140,0.0000160000,0.0020750890,0.0010782880,0.0002441130,0.0010163660,0.0001972390,0.0030163790,,,
53,West Bering Sea,3.4447914460,0.6533192410,0.0237670280,1.6910609850,0.6872248030,0.0000970000,0.0768712090,0.0173534950,0.0604541010,0.0000000000,0.0000002020,0.0874613930,0.1431129760,0.0000000000,0.0005608350,0.0006476710,0.0000735000,0.0002610520,0.0000121000,0.0025137630,,,
54,Northern Bering - Chukchi Seas,1.9242720400,0.4642346690,0.1736951060,0.7079049150,0.3628694260,0.0000441000,0.1134187360,0.0217839220,0.0146412810,0.0000000000,0.0000467000,0.0254563090,0.0334757700,0.0000000000,0.0032047490,0.0005986040,0.0001739880,0.0008606110,0.0001120850,0.0017511290,,,
55,Beaufort Sea,0.9254682330,0.5375874920,0.0390069160,0.2267057420,0.1087963280,0.0000206000,0.0000545000,0.0000099600,0.0000000000,0.0000000000,0.0000000000,0.0025839270,0.0057500520,0.0000106000,0.0037022510,0.0000095700,0.0001703950,0.0007524760,0.0000440000,0.0002634690,,,
56,East Siberian Sea,1.0177251440,0.3582481390,0.0000000000,0.2812197810,0.3735604820,0.0000159000,0.0000007910,0.0000001760,0.0000000000,0.0000000000,0.0000000000,0.0007435280,0.0014204700,0.0000000000,0.0013336570,0.0005925130,0.0000063300,0.0000366000,0.0000008060,0.0005459820,,,
