Region;Year;Month;Mean Mesozooplankton abundance #m^3;mean CCS mm
A1;1985;8;;
A1;1985;9;;
A1;1985;10;;
A1;1985;11;;
A1;1985;12;;
A1;1986;1;;
A1;1986;2;;
A1;1986;3;;
A1;1986;4;;
A1;1986;5;;
A1;1986;6;;
A1;1986;7;;
A1;1986;8;;
A1;1986;9;;
A1;1986;10;;
A1;1986;11;;
A1;1986;12;;
A1;1987;1;;
A1;1987;2;;
A1;1987;3;;
A1;1987;4;;
A1;1987;5;;
A1;1987;6;;
A1;1987;7;;
A1;1987;8;;
A1;1987;9;;
A1;1987;10;;
A1;1987;11;;
A1;1987;12;;
A1;1988;1;;
A1;1988;2;;
A1;1988;3;;
A1;1988;4;;
A1;1988;5;;
A1;1988;6;;
A1;1988;7;;
A1;1988;8;;
A1;1988;9;;
A1;1988;10;;
A1;1988;11;;
A1;1988;12;;
A1;1989;1;;
A1;1989;2;;
A1;1989;3;;
A1;1989;4;;
A1;1989;5;;
A1;1989;6;;
A1;1989;7;;
A1;1989;8;;
A1;1989;9;;
A1;1989;10;;
A1;1989;11;;
A1;1989;12;;
A1;1990;1;;
A1;1990;2;;
A1;1990;3;;
A1;1990;4;;
A1;1990;5;;
A1;1990;6;;
A1;1990;7;;
A1;1990;8;;
A1;1990;9;;
A1;1990;10;;
A1;1990;11;;
A1;1990;12;;
A1;1991;1;;
A1;1991;2;;
A1;1991;3;;
A1;1991;4;;
A1;1991;5;;
A1;1991;6;;
A1;1991;7;;
A1;1991;8;;
A1;1991;9;;
A1;1991;10;;
A1;1991;11;;
A1;1991;12;;
A1;1992;1;;
A1;1992;2;;
A1;1992;3;;
A1;1992;4;;
A1;1992;5;;
A1;1992;6;;
A1;1992;7;;
A1;1992;8;;
A1;1992;9;;
A1;1992;10;;
A1;1992;11;;
A1;1992;12;;
A1;1993;1;;
A1;1993;2;;
A1;1993;3;;
A1;1993;4;;
A1;1993;5;;
A1;1993;6;;
A1;1993;7;;
A1;1993;8;;
A1;1993;9;;
A1;1993;10;;
A1;1993;11;;
A1;1993;12;;
A1;1994;1;;
A1;1994;2;;
A1;1994;3;;
A1;1994;4;;
A1;1994;5;;
A1;1994;6;;
A1;1994;7;;
A1;1994;8;;
A1;1994;9;;
A1;1994;10;;
A1;1994;11;;
A1;1994;12;;
A1;1995;1;;
A1;1995;2;;
A1;1995;3;;
A1;1995;4;;
A1;1995;5;;
A1;1995;6;;
A1;1995;7;;
A1;1995;8;;
A1;1995;9;;
A1;1995;10;;
A1;1995;11;;
A1;1995;12;;
A1;1996;1;;
A1;1996;2;;
A1;1996;3;;
A1;1996;4;;
A1;1996;5;;
A1;1996;6;;
A1;1996;7;;
A1;1996;8;;
A1;1996;9;;
A1;1996;10;;
A1;1996;11;;
A1;1996;12;;
A1;1997;1;;
A1;1997;2;;
A1;1997;3;;
A1;1997;4;;
A1;1997;5;;
A1;1997;6;;
A1;1997;7;;
A1;1997;8;;
A1;1997;9;;
A1;1997;10;;
A1;1997;11;;
A1;1997;12;;
A1;1998;1;;
A1;1998;2;;
A1;1998;3;;
A1;1998;4;;
A1;1998;5;;
A1;1998;6;;
A1;1998;7;;
A1;1998;8;;
A1;1998;9;;
A1;1998;10;;
A1;1998;11;;
A1;1998;12;;
A1;1999;1;;
A1;1999;2;;
A1;1999;3;;
A1;1999;4;;
A1;1999;5;;
A1;1999;6;;
A1;1999;7;;
A1;1999;8;;
A1;1999;9;;
A1;1999;10;;
A1;1999;11;;
A1;1999;12;;
A1;2000;1;;
A1;2000;2;;
A1;2000;3;;
A1;2000;4;;
A1;2000;5;;
A1;2000;6;;
A1;2000;7;;
A1;2000;8;;
A1;2000;9;;
A1;2000;10;;
A1;2000;11;;
A1;2000;12;;
A1;2001;1;;
A1;2001;2;;
A1;2001;3;;
A1;2001;4;;
A1;2001;5;;
A1;2001;6;;
A1;2001;7;;
A1;2001;8;;
A1;2001;9;;
A1;2001;10;;
A1;2001;11;;
A1;2001;12;;
A1;2002;1;;
A1;2002;2;;
A1;2002;3;;
A1;2002;4;;
A1;2002;5;;
A1;2002;6;;
A1;2002;7;;
A1;2002;8;;
A1;2002;9;;
A1;2002;10;;
A1;2002;11;;
A1;2002;12;;
A1;2003;1;;
A1;2003;2;;
A1;2003;3;;
A1;2003;4;;
A1;2003;5;;
A1;2003;6;;
A1;2003;7;;
A1;2003;8;;
A1;2003;9;;
A1;2003;10;;
A1;2003;11;;
A1;2003;12;;
A1;2004;1;;
A1;2004;2;;
A1;2004;3;;
A1;2004;4;;
A1;2004;5;;
A1;2004;6;;
A1;2004;7;;
