Year,FishCountry,TaxonName,CommonName,SumCatch
1954,Taiwan,Thunnus albacares,Yellowfin tuna,4610.334658
1954,USA,Thunnus alalunga,Albacore,9380.731195
1954,USA,Thunnus thynnus,Atlantic bluefin tuna,312.7237956
1954,USA,Euthynnus alletteratus,Little tunny,1.832629387
1954,USA,Scombridae,Mackerels  tunas and bonitos,6.986554392
1954,USA,Thunnus orientalis,Pacific bluefin tuna,7672.513809
1954,USA,Katsuwonus pelamis,Skipjack tuna,60241.18007
1954,USA,Thunnus albacares,Yellowfin tuna,42947.29238
1955,Angola,Euthynnus alletteratus,Little tunny,224.9246167
1955,Angola,Thunnus albacares,Yellowfin tuna,3823.77692
1955,Australia,Scombridae,Mackerels  tunas and bonitos,84.36613904
1955,Australia,Thunnus maccoyii,Southern bluefin tuna,337.6983829
1955,Barbados,Makaira nigricans,Blue marlin,288.0031554
1955,Brazil,Katsuwonus pelamis,Skipjack tuna,24.46820914
1955,Brazil,Thunnus albacares,Yellowfin tuna,2457.443421
1955,Canada,Thunnus alalunga,Albacore,0.242477862
1955,Canada,Thunnus thynnus,Atlantic bluefin tuna,56.85955172
1955,Chile,Scombridae,Mackerels  tunas and bonitos,544.5729675
1955,France,Thunnus thynnus,Atlantic bluefin tuna,587.3888973
1955,France,Thunnus albacares,Yellowfin tuna,115.7565522
1955,Guam (USA),Scombridae,Mackerels  tunas and bonitos,8.297844655
1955,Japan,Thunnus alalunga,Albacore,37183.68851
1955,Japan,Thunnus obesus,Bigeye tuna,39228.21733
1955,Japan,Thunnus orientalis,Pacific bluefin tuna,7163.326801
1955,Japan,Katsuwonus pelamis,Skipjack tuna,46497.02727
1955,Japan,Thunnus maccoyii,Southern bluefin tuna,8269.105767
1955,Japan,Thunnus albacares,Yellowfin tuna,49739.44437
1955,Korea (South),Thunnus orientalis,Pacific bluefin tuna,136.9027572
1955,Mexico,Katsuwonus pelamis,Skipjack tuna,264.2456634
1955,Mexico,Thunnus albacares,Yellowfin tuna,710.280359
