Year,FAO,FAO_Name,Catch (tonnes/year)
1986,18,Arctic Sea,0.028307861
1986,21,Northwest Atlantic,82957.97424
1986,27,Northeast Atlantic,39536.96346
1986,31,Western Central Atlantic,2759.40348
1986,34,Eastern Central Atlantic,5419.028588
1986,41,Southwest Atlantic,307942.0682
1986,47,Southeast Atlantic,290.9388867
1986,48,Atlantic (Antarctic),21885.26014
1986,51,Western Indian Ocean,29891.30839
1986,57,Eastern Indian Ocean,45330.01254
1986,58,Indian Ocean (Antarctic),4637.030132
1986,61,Northwest Pacific,103997.5186
1986,67,Northeast Pacific,4953.812818
1986,71,Western Central Pacific,37656.14238
1986,77,Eastern Central Pacific,4137.550137
1986,81,Southwest Pacific,118560.8139
1986,87,Southeast Pacific,7277.732796
1987,18,Arctic Sea,0.015070082
1987,21,Northwest Atlantic,106711.3197
1987,27,Northeast Atlantic,24732.23618
1987,31,Western Central Atlantic,2996.006552
1987,34,Eastern Central Atlantic,7536.616495
1987,41,Southwest Atlantic,330139.8424
1987,47,Southeast Atlantic,306.6330955
1987,48,Atlantic (Antarctic),47373.85328
1987,51,Western Indian Ocean,30011.38242
1987,57,Eastern Indian Ocean,39470.78184
1987,58,Indian Ocean (Antarctic),1220.928086
1987,61,Northwest Pacific,120911.8029
1987,67,Northeast Pacific,6387.990651
1987,71,Western Central Pacific,34217.83258
1987,77,Eastern Central Pacific,17967.15838
1987,81,Southwest Pacific,153455.5143
1987,87,Southeast Pacific,5802.091564
1987,88,Pacific (Antarctic),1.2604E-05
1988,18,Arctic Sea,0.028307861
1988,21,Northwest Atlantic,81846.42353
1988,27,Northeast Atlantic,26435.34659
1988,31,Western Central Atlantic,3629.09686
1988,34,Eastern Central Atlantic,3291.357546
1988,41,Southwest Atlantic,301874.15
1988,47,Southeast Atlantic,11846.26198
1988,48,Atlantic (Antarctic),23313.91174
1988,51,Western Indian Ocean,30876.56569
1988,57,Eastern Indian Ocean,45943.43845
1988,58,Indian Ocean (Antarctic),1942.565629
1988,61,Northwest Pacific,128264.0068
1988,67,Northeast Pacific,8833.571262
1988,71,Western Central Pacific,37772.76631
1988,77,Eastern Central Pacific,28991.72017
1988,81,Southwest Pacific,179487.4308
1988,87,Southeast Pacific,11425.43137
1989,18,Arctic Sea,0.032259627
1989,21,Northwest Atlantic,79301.61144
1989,27,Northeast Atlantic,25342.05415
1989,31,Western Central Atlantic,4391.862945
1989,34,Eastern Central Atlantic,4375.292043
1989,41,Southwest Atlantic,358137.0007
1989,47,Southeast Atlantic,13419.56442
1989,48,Atlantic (Antarctic),1551.415933
1989,51,Western Indian Ocean,29175.36355
1989,57,Eastern Indian Ocean,58293.56818
1989,58,Indian Ocean (Antarctic),197.2133512
1989,61,Northwest Pacific,85287.66424
1989,67,Northeast Pacific,10414.57724
1989,71,Western Central Pacific,37959.67272
1989,77,Eastern Central Pacific,40688.66099
1989,81,Southwest Pacific,163712.4768
1989,87,Southeast Pacific,15815.74671
1990,18,Arctic Sea,0.024724586
1990,21,Northwest Atlantic,77657.83816
1990,27,Northeast Atlantic,22846.66543
1990,31,Western Central Atlantic,4311.222353
1990,34,Eastern Central Atlantic,3386.81131
1990,41,Southwest Atlantic,392894.0443
1990,47,Southeast Atlantic,6858.930771
1990,48,Atlantic (Antarctic),6576.203491
1990,51,Western Indian Ocean,40486.6401
1990,57,Eastern Indian Ocean,55066.62677
1990,58,Indian Ocean (Antarctic),3520.998558
1990,61,Northwest Pacific,81448.18895
1990,67,Northeast Pacific,9704.742804
1990,71,Western Central Pacific,40133.93881
