IYear;LME;EcolFP
1955;39;0.008439352
1955;40;0.022949714
1955;41;0.004491495
1955;42;0.002544014
1955;43;0.005005444
1955;44;0.00476518
1955;45;0.005745988
1955;46;0.005819404
1955;47;0.478472043
1955;48;0.385524553
1955;49;0.20603089
1955;50;0.266045601
1955;51;0.157726174
1955;52;0.163258547
1955;53;0.070917492
1955;54;0.000407955
1955;55;0.000208768
1955;56;0.000218834
1955;57;0.000388895
1955;58;0.001191763
1955;59;0.073925302
1955;60;0.447690854
1955;61;5.44884E-06
1955;62;0.046393279
1955;63;0.003114172
1955;64;0.000771476
1955;65;0.003600869
1955;66;0.376008878
1956;1;0.07431863
1956;2;0.040522928
1956;3;0.019957005
1956;4;0.006145015
1956;5;0.026498787
1956;6;0.026766476
1956;7;0.256923243
1956;8;0.375500377
1956;9;0.724425124
1956;10;0.040226511
1956;11;0.006760351
1956;12;0.013908677
1956;13;0.047950559
1956;14;0.008983705
1956;15;0.007511
1956;16;0.011143341
1956;17;0.008481737
1956;18;0.516133878
1956;19;1.461559231
1956;20;0.720836228
1956;21;0.422819796
1956;22;0.511672995
1956;23;0.301688725
1956;24;0.170109563
1956;25;0.517738579
1956;26;0.058674127
1956;27;0.015329802
1956;28;0.00879331
1956;29;0.026031436
1956;30;0.013363219
1956;31;0.005817909
1956;32;0.036519416
1956;33;0.014183277
1956;34;0.036194047
1956;35;0.043283822
1956;36;0.157668532
1956;37;0.038948251
1956;38;0.029538386
1956;39;0.009458618
1956;40;0.025741228
1956;41;0.005268703
1956;42;0.003039751
1956;43;0.005883251
1956;44;0.006337811
1956;45;0.007895178
1956;46;0.005897677
1956;47;0.528915473
1956;48;0.446120099
1956;49;0.189757246
1956;50;0.239870485
1956;51;0.131258665
1956;52;0.151320794
1956;53;0.060387375
1956;54;0.000405821
1956;55;0.000214311
1956;56;0.000218834
1956;57;0.000388895
1956;58;0.00118215
1956;59;0.106032702
1956;60;0.548963149
1956;61;5.44884E-06
1956;62;0.051670733
1956;63;0.003318139
1956;64;0.000808824
1956;65;0.003858261
1956;66;0.404290196
1957;1;0.075370362
1957;2;0.0434747
1957;3;0.018323858
1957;4;0.006164925
1957;5;0.026057498
1957;6;0.027179565
1957;7;0.273458436
